ID,광역시도,시군구,20-39세계,20-39세남자,20-39세여자,65세 이상계,인구수계,소멸비율,소멸위기지역,소멸위기고위험지역,y,x,20-30대 성비율
인천 중구,인천광역시,중구,39667,20844,18824,19309,135667,0.9749,0,0,9,1,-0.0969103818844751
강진,전라남도,강진군,5446,2921,2525,11881,34648,0.2125,1,0,24,1,-0.13557001027045534
고흥,전라남도,고흥군,8098,4550,3549,25951,64022,0.1368,1,1,23,4,-0.21999999999999997
곡성,전라남도,곡성군,4263,2307,1958,10089,28267,0.1941,1,1,21,3,-0.15127871694841788
광양,전라남도,광양시,39931,22291,17641,19642,153640,0.8981,0,0,21,5,-0.20860436947647032
구례,전라남도,구례군,3887,2084,1805,8741,25985,0.2065,1,0,20,4,-0.1338771593090211
나주,전라남도,나주시,27023,14174,12851,25388,114376,0.5062,0,0,22,1,-0.0933399181600113
담양,전라남도,담양군,8667,4869,3799,14070,46034,0.27,1,0,20,2,-0.21975765044156914
목포,전라남도,목포시,54208,28586,25624,36558,225273,0.7009,0,0,22,0,-0.10361715525082205
무안,전라남도,무안군,18235,9554,8682,17082,83168,0.5083,0,0,21,1,-0.09127067196985561
보성,전라남도,보성군,5685,3126,2560,15374,40544,0.1665,1,1,24,3,-0.181062060140755
순천,전라남도,순천시,70234,37007,33228,43095,279602,0.771,0,0,22,4,-0.10211581592671659
신안,전라남도,신안군,5774,3549,2225,14081,39201,0.158,1,1,21,0,-0.3730628346012962
여수,전라남도,여수시,65443,36049,29396,52858,279854,0.5561,0,0,22,5,-0.1845543565702239
영광,전라남도,영광군,9993,5396,4600,15196,52970,0.3027,1,0,19,1,-0.14751667902149745
영암,전라남도,영암군,10064,5638,4427,14080,53651,0.3144,1,0,23,1,-0.21479247960269598
완도,전라남도,완도군,7981,4510,3472,16025,50007,0.2167,1,0,25,2,-0.23015521064301547
장성,전라남도,장성군,8299,4699,3604,13109,44715,0.2749,1,0,19,2,-0.23302830389444562
장흥,전라남도,장흥군,6050,3291,2759,12733,37859,0.2167,1,0,24,2,-0.1616529930112428
진도,전라남도,진도군,4905,2743,2162,10130,30722,0.2134,1,0,24,0,-0.21181188479766677
함평,전라남도,함평군,4756,2703,2053,11546,32098,0.1778,1,1,20,1,-0.24047354790972997
해남,전라남도,해남군,10907,5863,5045,21946,69000,0.2299,1,0,23,0,-0.13951901756779805
화순,전라남도,화순군,11610,6132,5479,16416,62182,0.3338,1,0,21,4,-0.10649054142204828
고창,전라북도,고창군,8348,4617,3732,18475,54579,0.202,1,0,18,1,-0.19168291098115664
군산,전라북도,군산시,61125,32637,28489,48768,266687,0.5842,0,0,16,2,-0.1270950148604345
김제,전라북도,김제시,14113,7700,6415,25757,82405,0.2491,1,0,17,3,-0.16688311688311686
남원,전라북도,남원시,14155,7554,6603,22274,80654,0.2964,1,0,18,5,-0.12589356632247817
전주 덕진,전라북도,덕진구,85159,44114,41045,43137,315225,0.9515,0,0,18,3,-0.0695697510994242
무주,전라북도,무주군,3591,1976,1615,7950,24069,0.2031,1,0,16,5,-0.1826923076923077
부안,전라북도,부안군,8417,4619,3800,17061,52251,0.2227,1,0,17,2,-0.17731110630006497
순창,전라북도,순창군,4243,2189,2056,9330,27930,0.2204,1,0,20,3,-0.0607583371402467
전주 완산,전라북도,완산구,88971,45677,43295,52054,337634,0.8317,0,0,19,3,-0.052148783851829195
