상호,주소,가격,셀프,상표,구
(주)백운주유소,서울 금천구 시흥대로 282 (독산동),1785,Y,알뜰주유소,금천구
현대오일뱅크㈜직영 금천제일주유소,서울 금천구 남부순환로 1410 (독산동),1789,N,HD현대오일뱅크,금천구
HD현대오일뱅크㈜직영 금천현대셀프주유소,서울 금천구 독산로 147 (시흥동),1789,Y,HD현대오일뱅크,금천구
(주)화동유업 화동주유소,서울 금천구 시흥대로 484,1797,Y,SK에너지,금천구
남서울경복에너지,서울 금천구 독산로 257 (독산동),1798,Y,HD현대오일뱅크,금천구
백산주유소,서울특별시 금천구  시흥대로 174 (시흥동),1798,Y,S-OIL,금천구
지에스칼텍스(주)일신주유소,서울 금천구 시흥대로 118,1810,Y,GS칼텍스,금천구
SK에너지(주) 박미주유소,서울 금천구 시흥대로 39-7 (시흥동),1815,Y,SK에너지,금천구
SK에너지(주) 이가주유소,서울 금천구 시흥대로 441,1818,N,SK에너지,금천구
화랑대주유소,서울 노원구 화랑로 483,1765,Y,HD현대오일뱅크,노원구
월계주유소,서울 노원구 월계로 252 (월계동),1769,Y,GS칼텍스,노원구
(주)정건에너지직영,서울 노원구 노원로17길 29 (하계동),1769,Y,HD현대오일뱅크,노원구
이엠석유(주)배꽃나라주유소,서울 노원구 화랑로 466 (공릉1동),1775,Y,GS칼텍스,노원구
남선석유(주)구도일주유소 불암,서울 노원구 한글비석로 268 (중계동),1775,Y,S-OIL,노원구
삼육주유소,서울 노원구 화랑로 822 (공릉동),1775,Y,SK에너지,노원구
한신주유소,서울 노원구 동일로 1089 (공릉동),1785,Y,S-OIL,노원구
태릉솔밭주유소,서울 노원구 노원로 49 (공릉동),1785,Y,S-OIL,노원구
성북역주유소,서울 노원구 광운로 95 (월계동),1795,N,GS칼텍스,노원구
상계동주유소,서울 노원구 노원로26길 191 (상계동),1830,N,HD현대오일뱅크,노원구
(주)소모 수락산셀프주유소,서울 노원구 동일로 1772,1837,Y,GS칼텍스,노원구
신성주유소,서울 노원구 월계로 328 (월계동),1838,Y,S-OIL,노원구
SK에너지㈜직영 상계주유소,서울 노원구 노해로 527 (상계동),1859,N,SK에너지,노원구
하계삼호주유소,서울 노원구 공릉로 294 (하계동),1900,N,GS칼텍스,노원구
