제목,저자,역자,출간일,페이지수,가격
"STEM CookBook, 기초 선형대수학(2판)","이광연, 설한국, 김진수", ,2021-06-07,440,26000
"STEM CookBook, 이공계생을 위한 확률과 통계(2판)","안승철, 이광연, 박기섭", ,2021-06-07,448,25000
"IT CookBook,  문제해결을 위한 컴퓨팅 사고와 파이썬",김지연, ,2021-05-31,432,24000
"IT CookBook, 컴퓨터 활용과 실습 2019","김경희, 김혜란", ,2021-05-24,572,25000
누워서 읽는 통계학,"와쿠이 요시유키, 와쿠이 사다미",권기태,2021-04-09,388,19800
만만한 통계 : R 활용,"닐 J. 샐카인드, 레슬리 A. 쇼",김재경,2021-04-01,500,28000
4차 산업혁명 시대를 위한 e-비즈니스 개론(4판),이동훈, ,2021-03-07,512,27000
회계원리,"이기호, 이정엽, 전홍준", ,2021-03-05,332,23000
최신 원가회계,"정재권, 서한결, 곽종민", ,2021-02-25,444,28000
"IT CookBook, C 언어 일취월장(2판)",신윤환, ,2021-02-24,800,28000
소비자행동,김학윤, ,2021-02-23,660,35000
"Numerical Methods for Engineers, 8th Edition","Steven Chapra, Raymond Canale", ,2021-02-18,1008,45000
"IT CookBook, SQL Server로 배우는 데이터베이스 개론과 실습(2판)","박우창, 남송휘, 이현룡", ,2021-02-10,604,29000
"IT CookBook, 손에 잡히는 데이터 통신",임석구, ,2021-01-23,572,29000
"IT CookBook, 파이썬 자료구조와 알고리즘 for Beginner",우재남, ,2021-01-23,520,27000
"STEM CookBook, 대학물리학(5판)",Alan Giambattista,김용은 외,2021-01-20,1464,43000
"STEM CookBook, 재료역학(2판)","Anthony Bedford, Kenneth M. Liechti","정광영, 김형종, 마정범, 최정호, 홍석무",2021-01-20,840,38000
창업을 디자인하라(2판),유순근, ,2021-01-20,505,29000
"IT CookBook, 디지털 회로 실험 with PSpice",홍순관, ,2021-01-15,396,22000
데이터 과학을 위한 기초수학 with 파이썬,이병준, ,2021-01-06,448,26000
